"";"c1";"c2";"c3";"c4";"c5";"c6";"Cepa";"Fecha";"Lado"
"55";"1.64152076437984e-40";"1.73097260040142e-25";"4.66510951992362e-13";"1.76545802125481e-05";"3.07521835754342e-01";"4.17660350784273e-01";"E47";"F3";"F"
"56";"1.29510473166635e-48";"5.84148578598904e-32";"9.80363329786622e-18";"1.58692803014543e-08";"1.72134482351472e-02";"9.99976490072281e-01";"E47";"F3";"D"
"57";"3.80671866320308e-47";"8.91424879617024e-31";"7.27437313346224e-17";"6.11337846285214e-08";"3.22432654232422e-02";"9.72470566859394e-01";"E47";"F3";"D"
"58";"2.25692584730940e-44";"1.48876702486960e-28";"3.01502274622076e-15";"7.13759303905990e-07";"9.34248796475498e-02";"7.93734897996767e-01";"E47";"F3";"D"
"59";"2.75416606858283e-40";"2.60331929841413e-25";"6.22073842211059e-13";"2.11023583180057e-05";"3.25906038941664e-01";"3.96764858640262e-01";"E47";"F3";"D"
"60";"7.16468057861612e-44";"3.74206922176667e-28";"5.86194521788928e-15";"1.09877426267263e-06";"1.11246236950327e-01";"7.48348324680536e-01";"E47";"F3";"D"
"61";"1.43057226532998e-43";"6.49301332855786e-28";"8.71565224095470e-15";"1.41967235487313e-06";"1.23165376027116e-01";"7.19993553554847e-01";"E47";"F3";"D"
"62";"3.93861203749505e-43";"1.45406758155190e-27";"1.55515462095561e-14";"2.06047192786394e-06";"1.42430368498124e-01";"6.77247582675567e-01";"E47";"F3";"D"
"63";"1.19103234760030e-45";"1.41529290992550e-29";"5.47626983302178e-16";"2.33538965499415e-07";"5.84042932350604e-02";"8.93863131536096e-01";"E47";"F3";"D"
"64";"1.46858799098135e-45";"1.67394781687802e-29";"6.18716230310357e-16";"2.53095946818660e-07";"6.04618868650121e-02";"8.87620076439552e-01";"E47";"F3";"D"
"65";"3.12783223222861e-47";"7.61097240830768e-31";"6.47858215342618e-17";"5.65755006631555e-08";"3.11254143372753e-02";"9.75473140814006e-01";"E47";"F3";"D"
"66";"3.12783223222861e-47";"7.61097240830768e-31";"6.47858215342618e-17";"5.65755006631555e-08";"3.11254143372753e-02";"9.75473140814006e-01";"E47";"F3";"D"
"67";"8.86751901648125e-01";"6.07488961469622e-02";"2.55900854369288e-07";"6.29158020055841e-16";"1.71293149524101e-29";"1.51140110255905e-45";"FLO";"F1";"F"
"68";"8.15257066939116e-01";"8.54552869055321e-02";"5.74713228810350e-07";"2.16195822125339e-15";"9.39737304220248e-29";"1.26868647265176e-44";"FLO";"F1";"F"
"69";"8.42233489278597e-01";"7.58464074052401e-02";"4.31629610313221e-07";"1.39497195799842e-15";"5.13084158214075e-29";"5.95106360212577e-45";"FLO";"F1";"F"
"70";"7.08778014592676e-01";"1.28062954220637e-01";"1.56765892240620e-06";"1.01652156338196e-14";"8.04250928357947e-28";"1.87157970348532e-43";"FLO";"F1";"F"
"71";"7.77363522830527e-01";"9.96865281821124e-02";"8.36899814643267e-07";"3.85156758992914e-15";"2.08988041937802e-28";"3.45173326280570e-44";"FLO";"F1";"F"
"72";"9.24900662826504e-01";"4.82807668253951e-02";"1.50815018234278e-07";"2.82537044762699e-16";"5.70417371025412e-30";"3.83508760354847e-46";"FLO";"F1";"F"
"73";"8.37270569231139e-01";"7.75848183925503e-02";"4.55619411421625e-07";"1.51518226983909e-15";"5.75091916506249e-29";"6.86359521871049e-45";"FLO";"F1";"F"
"74";"9.35215775857525e-01";"4.49189121300550e-02";"1.28032973593801e-07";"2.20694228864485e-16";"4.06565470804772e-30";"2.51507751629420e-46";"FLO";"F1";"F"
