id;V1;V2;V3;V4;V5;V6;V7;V8;V9;LOCALIDAD;PARAMETRO;ANO
I162;0;0;0.0127;0.7956;0.4453;0.0102;0;0;0.0002;La31.75Lo68.75;WS50M;a1986
I163;0;0;0.0239;0.8887;0.3587;0.0065;0;0;0.0002;La31.75Lo68.75;WS50M;a1987
I164;0;0;0.0393;0.9489;0.2925;0.0044;0;0;0.0002;La31.75Lo68.75;WS50M;a1988
I165;0;0;0.0439;0.96;0.278;0.004;0;0;0.0002;La31.75Lo68.75;WS50M;a1989
I166;0;0;0.0452;0.9626;0.2745;0.0039;0;0;0.0002;La31.75Lo68.75;WS50M;a1990
I167;0;0;0.0532;0.9763;0.2538;0.0034;0;0;0.0001;La31.75Lo68.75;WS50M;a1991
I168;0;0;0.0239;0.8887;0.3587;0.0065;0;0;0.0002;La31.75Lo68.75;WS50M;a1992
I169;0;0;0.0427;0.9574;0.2816;0.0041;0;0;0.0002;La31.75Lo68.75;WS50M;a1993
I170;0;0;0.0286;0.9123;0.3345;0.0057;0;0;0.0002;La31.75Lo68.75;WS50M;a1994
I171;0;0;0.0303;0.9196;0.3266;0.0055;0;0;0.0002;La31.75Lo68.75;WS50M;a1995
I172;0;0;0.0561;0.9802;0.2471;0.0032;0;0;0.0001;La31.75Lo68.75;WS50M;a1996
I173;0;0;0.0371;0.9429;0.2999;0.0046;0;0;0.0002;La31.75Lo68.75;WS50M;a1997
I174;0;0;0.0504;0.9721;0.2606;0.0036;0;0;0.0001;La31.75Lo68.75;WS50M;a1998
I175;0;0;0.0518;0.9742;0.2572;0.0035;0;0;0.0001;La31.75Lo68.75;WS50M;a1999
I176;0;0;0.0361;0.9398;0.3036;0.0047;0;0;0.0002;La31.75Lo68.75;WS50M;a2000
I177;0;0;0.0439;0.96;0.278;0.004;0;0;0.0002;La31.75Lo68.75;WS50M;a2001
I178;0;0;0.0246;0.8928;0.3546;0.0064;0;0;0.0002;La31.75Lo68.75;WS50M;a2002
I179;0;0;0.0361;0.9398;0.3036;0.0047;0;0;0.0002;La31.75Lo68.75;WS50M;a2003
I180;0;0;0.0321;0.9266;0.3188;0.0052;0;0;0.0002;La31.75Lo68.75;WS50M;a2004
I181;0;0;0.0253;0.8968;0.3505;0.0063;0;0;0.0002;La31.75Lo68.75;WS50M;a2005
I182;0;0;0.0294;0.9159;0.3305;0.0056;0;0;0.0002;La31.75Lo68.75;WS50M;a2006
