"";"V1_Calma";"V2_Ventolina";"V3_BrisaMuyDebil";"V4_BrisaDebilFlojo";"V5_BrisaModerada";"V6_BrisaFresca";"V7_BrisaFuerte";"v8_VientoFuerte";"v9_Temporal";"LOCALIDAD";"PARAMETRO";"MES"
"71";"0e+00";"0.000e+00";"0.000e+00";"5.348e-01";"4.652e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La30.25Lo67.25";"WS50M";"enero"
"72";"0e+00";"0.000e+00";"5.100e-03";"9.949e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La30.25Lo67.25";"WS10M";"enero"
"73";"0e+00";"0.000e+00";"0.000e+00";"4.043e-01";"5.957e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La30.25Lo66.75";"WS50M";"enero"
"74";"0e+00";"0.000e+00";"0.000e+00";"9.826e-01";"1.740e-02";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La30.25Lo66.75";"WS10M";"enero"
"75";"0e+00";"0.000e+00";"0.000e+00";"3.435e-01";"6.565e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La30.25Lo66.25";"WS50M";"enero"
"76";"0e+00";"0.000e+00";"0.000e+00";"9.522e-01";"4.780e-02";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La30.25Lo66.25";"WS10M";"enero"
"77";"0e+00";"0.000e+00";"0.000e+00";"3.652e-01";"6.348e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La30.25Lo65.75";"WS50M";"enero"
"78";"0e+00";"0.000e+00";"5.100e-03";"9.949e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La30.25Lo65.75";"WS10M";"enero"
"79";"0e+00";"0.000e+00";"0.000e+00";"5.522e-01";"4.478e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La30.25Lo65.25";"WS50M";"enero"
"80";"0e+00";"0.000e+00";"3.077e-01";"6.923e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La30.25Lo65.25";"WS10M";"enero"
"81";"0e+00";"0.000e+00";"7.487e-01";"2.513e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La29.75Lo69.75";"WS50M";"enero"
"82";"0e+00";"0.000e+00";"8.769e-01";"1.231e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La29.75Lo69.75";"WS10M";"enero"
"83";"0e+00";"0.000e+00";"8.154e-01";"1.846e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La29.75Lo69.25";"WS50M";"enero"
"84";"0e+00";"0.000e+00";"8.564e-01";"1.436e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La29.75Lo69.25";"WS10M";"enero"
"85";"0e+00";"0.000e+00";"3.179e-01";"6.821e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La29.75Lo68.75";"WS50M";"enero"
"86";"0e+00";"0.000e+00";"4.000e-01";"6.000e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La29.75Lo68.75";"WS10M";"enero"
"87";"0e+00";"0.000e+00";"1.128e-01";"8.872e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La29.75Lo68.25";"WS50M";"enero"
"88";"0e+00";"0.000e+00";"4.256e-01";"5.744e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La29.75Lo68.25";"WS10M";"enero"
"89";"0e+00";"0.000e+00";"2.560e-02";"9.744e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La29.75Lo67.75";"WS50M";"enero"
"90";"0e+00";"0.000e+00";"3.385e-01";"6.615e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La29.75Lo67.75";"WS10M";"enero"
"91";"0e+00";"0.000e+00";"0.000e+00";"9.261e-01";"7.390e-02";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La29.75Lo67.25";"WS50M";"enero"
"92";"0e+00";"0.000e+00";"2.769e-01";"7.231e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La29.75Lo67.25";"WS10M";"enero"
"93";"0e+00";"0.000e+00";"0.000e+00";"7.391e-01";"2.609e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La29.75Lo66.75";"WS50M";"enero"
"94";"0e+00";"0.000e+00";"2.051e-01";"7.949e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La29.75Lo66.75";"WS10M";"enero"
"95";"0e+00";"0.000e+00";"0.000e+00";"3.391e-01";"6.609e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La29.75Lo66.25";"WS50M";"enero"
"96";"0e+00";"0.000e+00";"0.000e+00";"9.348e-01";"6.520e-02";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La29.75Lo66.25";"WS10M";"enero"
"97";"0e+00";"0.000e+00";"0.000e+00";"3.696e-01";"6.304e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La29.75Lo65.75";"WS50M";"enero"
"98";"0e+00";"0.000e+00";"5.100e-03";"9.949e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La29.75Lo65.75";"WS10M";"enero"
