ID;LOCALIDAD;PARAMETRO;MES;Viento
I0429;La31.25Lo67.75;WS50M;marzo;5.18
I0430;La31.25Lo67.75;WS10M;marzo;3.98
I0431;La31.25Lo67.25;WS50M;marzo;5.48
I0432;La31.25Lo67.25;WS10M;marzo;4.11
I0433;La31.25Lo66.75;WS50M;marzo;5.68
I0434;La31.25Lo66.75;WS10M;marzo;4.11
I0435;La31.25Lo66.25;WS50M;marzo;5.57
I0436;La31.25Lo66.25;WS10M;marzo;3.99
I0437;La31.25Lo65.75;WS50M;marzo;4.57
I0438;La31.25Lo65.75;WS10M;marzo;2.8
I0439;La31.25Lo65.25;WS50M;marzo;4.51
I0440;La31.25Lo65.25;WS10M;marzo;2.87
I0441;La30.75Lo69.75;WS50M;marzo;3.1
I0442;La30.75Lo69.75;WS10M;marzo;2.61
I0443;La30.75Lo69.25;WS50M;marzo;3.03
I0444;La30.75Lo69.25;WS10M;marzo;2.75
I0445;La30.75Lo68.75;WS50M;marzo;3.88
I0446;La30.75Lo68.75;WS10M;marzo;3.33
I0447;La30.75Lo68.25;WS50M;marzo;4.85
I0448;La30.75Lo68.25;WS10M;marzo;3.77
I0449;La30.75Lo67.75;WS50M;marzo;5.12
I0450;La30.75Lo67.75;WS10M;marzo;3.97
I0451;La30.75Lo67.25;WS50M;marzo;5.28
I0452;La30.75Lo67.25;WS10M;marzo;4.01
I0453;La30.75Lo66.75;WS50M;marzo;5.42
I0454;La30.75Lo66.75;WS10M;marzo;3.94
I0455;La30.75Lo66.25;WS50M;marzo;5.4
I0456;La30.75Lo66.25;WS10M;marzo;3.88
I0457;La30.75Lo65.75;WS50M;marzo;4.77
I0458;La30.75Lo65.75;WS10M;marzo;2.97
I0459;La30.75Lo65.25;WS50M;marzo;4.59
I0460;La30.75Lo65.25;WS10M;marzo;2.71
I0461;La30.25Lo69.75;WS50M;marzo;2.9
I0462;La30.25Lo69.75;WS10M;marzo;2.46
I0463;La30.25Lo69.25;WS50M;marzo;2.68
I0464;La30.25Lo69.25;WS10M;marzo;2.47
I0465;La30.25Lo68.75;WS50M;marzo;3.71
I0466;La30.25Lo68.75;WS10M;marzo;3.31
I0467;La30.25Lo68.25;WS50M;marzo;4.36
I0468;La30.25Lo68.25;WS10M;marzo;3.4
I0469;La30.25Lo67.75;WS50M;marzo;4.89
I0470;La30.25Lo67.75;WS10M;marzo;3.82
I0471;La30.25Lo67.25;WS50M;marzo;5.15
I0472;La30.25Lo67.25;WS10M;marzo;3.97
I0473;La30.25Lo66.75;WS50M;marzo;5.3
I0474;La30.25Lo66.75;WS10M;marzo;3.86
I0475;La30.25Lo66.25;WS50M;marzo;5.56
